date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:50:21	1773/1773	---M-Z	200	added ('OK')	text/html	etag:%225816e3-6ed-3898c6742f4c0%22	https://www.nyu.edu/classes/stephens/Romance.html	www.nyu.edu/classes/stephens/Romance.html	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:22	10902/10902	---M--	200	added ('OK')	image/jpeg	etag:%22581717-2a96-382d4c71742c0%22	https://www.nyu.edu/classes/stephens/island_still2.JPG	www.nyu.edu/classes/stephens/island_still2.jpg	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:23	13652/13652	---M--	200	added ('OK')	image/jpeg	etag:%2258172f-3554-3815345b6ab80%22	https://www.nyu.edu/classes/stephens/sea_still.JPG	www.nyu.edu/classes/stephens/sea_still.jpg	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:24	1675/1675	---M-Z	200	added ('OK')	text/html	etag:%2258166e-68b-3899a6d8c1d80%22	https://www.nyu.edu/classes/stephens/CHIEF.html	www.nyu.edu/classes/stephens/CHIEF.html	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:26	40998/40998	---M--	200	added ('OK')	image/jpeg	etag:%2258170d-a026-389a6e2190940%22	https://www.nyu.edu/classes/stephens/chief.JPG	www.nyu.edu/classes/stephens/chief.jpg	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:26	1743/1743	---M-Z	200	added ('OK')	text/html	etag:%225816da-6cf-3899c69cbcf40%22	https://www.nyu.edu/classes/stephens/Pula_Kids.html	www.nyu.edu/classes/stephens/Pula_Kids.html	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:27	1714/1714	---M-Z	200	added ('OK')	text/html	etag:%2258167c-6b2-3899d69523d00%22	https://www.nyu.edu/classes/stephens/Desert.html	www.nyu.edu/classes/stephens/Desert.html	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:28	2969/2969	---M--	200	added ('OK')	image/jpeg	etag:%22581712-b99-3818e7ce73bc0%22	https://www.nyu.edu/classes/stephens/desert_still.JPG	www.nyu.edu/classes/stephens/desert_still.jpg	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:29	1674/1674	---M-Z	200	added ('OK')	text/html	etag:%225816be-68a-3898eb14b5ec0%22	https://www.nyu.edu/classes/stephens/MOVE.html	www.nyu.edu/classes/stephens/MOVE.html	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
11:50:30	18408/18408	---M--	200	added ('OK')	image/jpeg	etag:%2258171c-47e8-389a6e5233c00%22	https://www.nyu.edu/classes/stephens/move_still.JPG	www.nyu.edu/classes/stephens/move_still.jpg	(from https://www.nyu.edu/classes/stephens/Road_Video_Page.htm)
